Framenumber;Time [s];Video pixel (X) [px];Video pixel (Y) [px];X position [px];Y position [px];Distance [px];Distance in x-direction [px];Distance in y-direction [px];Length [px];Length in x-Direction [px];Length in y-Direction [px];Velocity [px/s];Velocity in x-direction [px/s];Velocity in y-direction [px/s];Acceleration [px/s²];Acceleration in x-Direction [px/s²];Acceleration in y-Direction [px/s²];
332;6.62;1582;362;1582;362;14;14;0;679.47;663;-5;140;140;0;0;0;0;
337;6.72;1596;362;1596;362;14;14;0;693.47;677;-5;140;140;0;0;0;0;
342;6.82;1610;362;1610;362;14;14;0;707.47;691;-5;140;140;0;203.12;200;-100;
347;6.92;1624;362;1624;362;16.03;16;-1;723.51;707;-6;160.31;160;-10;-99.79;-100;200;
352;7.02;1640;361;1640;361;15.03;15;1;738.54;722;-5;150.33;150;10;-99.76;-100;-200;
357;7.12;1655;362;1655;362;14.04;14;-1;752.58;736;-6;140.36;140;-10;-99.73;-100;200;
362;7.22;1669;361;1669;361;13.04;13;1;765.61;749;-5;130.38;130;10;196.16;200;-100;
367;7.32;1682;362;1682;362;15;15;0;780.61;764;-5;150;150;0;3.33;0;-100;
372;7.42;1697;362;1697;362;15.03;15;-1;795.65;779;-6;150.33;150;-10;-52.47;-50;50;
377;7.52;1712;361;1712;361;29.02;29;-1;824.66;808;-7;145.09;145;-5;0;0;0;
387;7.72;1741;360;1741;360;0;0;0;0;0;0;0;0;0;0;0;0;
