"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.225657340E-1,-6.352944374E-1,-1.015962601E1,-6.729813665E-2
2.250553690E-1,-6.281159520E-1,-1.013091183E1,-2.901297435E-2
2.275450050E-1,-6.113662124E-1,-1.013330460E1,5.952146277E-2
2.300346920E-1,-6.185446382E-1,-1.011894798E1,1.507478207E-1
2.325243280E-1,-5.946164131E-1,-1.011894798E1,1.866401732E-1
2.350140150E-1,-5.204389095E-1,-1.013091183E1,1.842473447E-1
2.374470360E-1,-4.486542344E-1,-1.008544827E1,2.225325108E-1
2.399366710E-1,-4.124628007E-1,-1.004955578E1,2.129612118E-1
2.424263070E-1,-3.741776347E-1,-1.001097202E1,2.512463629E-1
2.449159940E-1,-3.885345757E-1,-1.005194855E1,1.651047617E-1
2.474056300E-1,-4.076771438E-1,-9.994221687E0,1.049850956E-1
2.498952650E-1,-4.292125702E-1,-9.984650612E0,6.669992954E-2
2.523849530E-1,-4.438686073E-1,-9.996614456E0,3.320041299E-2
2.548745880E-1,-4.941178858E-1,-9.958329201E0,5.712864175E-2
2.573642240E-1,-5.132604837E-1,-9.943972588E0,6.909275055E-2
2.598539110E-1,-5.419743061E-1,-9.872187614E0,4.277170449E-2
2.623435460E-1,-5.659025311E-1,-9.860223770E0,5.234299600E-2
2.648332340E-1,-7.169494629E-1,-9.853045464E0,1.265204996E-1
2.672617760E-1,-1.059422255E0,-9.939187050E0,1.097707376E-1
2.697514110E-1,-8.916255236E-1,-9.867402077E0,8.823533356E-2
2.722410460E-1,-8.509475589E-1,-9.819545746E0,8.344969153E-2
2.747307340E-1,-9.011968374E-1,-9.788438797E0,7.387840003E-2
2.772203690E-1,-8.437690735E-1,-9.766604424E0,8.584251255E-2
2.797100050E-1,-7.935197949E-1,-9.754640579E0,2.967100143E-1
2.821996920E-1,-7.313064337E-1,-9.761818886E0,2.536391914E-1
2.846893280E-1,-6.927221417E-1,-9.749855042E0,3.134597540E-1
2.871789630E-1,-6.400800347E-1,-9.757033348E0,2.799602449E-1
2.896686510E-1,-6.592226624E-1,-9.766604424E0,1.890329868E-1
2.921582860E-1,-7.767700553E-1,-9.809974670E0,1.456630826E-1
2.946479740E-1,-1.013958573E0,-9.893723488E0,2.362912335E-2
2.970803690E-1,-8.198408484E-1,-9.802796364E0,6.669992954E-2
2.995700050E-1,-7.360920906E-1,-9.733105659E0,1.097707376E-1
3.020596400E-1,-7.480561733E-1,-9.747462273E0,1.603191197E-1
3.045493280E-1,-6.975077987E-1,-9.747462273E0,1.408774406E-1
3.070389630E-1,-1.150349498E0,-9.807581902E0,4.037888348E-2
3.095285990E-1,-1.294217944E0,-9.809974670E0,-2.518445849E-1
3.120182860E-1,-9.924231768E-1,-9.709177017E0,1.579262912E-1
3.145079210E-1,-8.174480200E-1,-9.716355324E0,1.217348501E-1
3.169975570E-1,-6.544370055E-1,-9.656535149E0,3.254238665E-1
3.194872440E-1,-5.084748268E-1,-9.634999275E0,3.158525825E-1
3.219768800E-1,-3.789632916E-1,-9.611071587E0,4.286143482E-1
3.244665670E-1,-2.617149651E-1,-9.596714020E0,3.756731451E-1
3.268937030E-1,-1.250249892E-1,-9.603892326E0,3.756731451E-1
3.293833380E-1,-1.495514158E-2,-9.587142944E0,2.895315289E-1
3.318729740E-1,-5.982056609E-4,-9.563215256E0,2.656033039E-1
3.343626610E-1,-5.982056609E-4,-9.539286613E0,1.289133132E-1
3.368522960E-1,2.811566554E-2,-9.524930000E0,8.344969153E-2
3.393419320E-1,1.136590727E-2,-9.534501076E0,6.879365072E-3
3.418316190E-1,-1.256231871E-2,-9.541679382E0,-6.729813665E-2
3.443212550E-1,-7.716853172E-2,-9.481559753E0,-1.992024779E-1
3.468108900E-1,-1.417747438E-1,-9.524930000E0,-3.188436031E-1
3.493005780E-1,-1.345962733E-1,-9.560821533E0,-4.674977362E-1
3.517902130E-1,-1.827518344E-1,-9.623035431E0,-5.632106066E-1
3.542799010E-1,-2.593221664E-1,-9.630213737E0,-6.592226624E-1
3.567096920E-1,-2.473580390E-1,-9.654142380E0,-6.687939167E-1
3.591993280E-1,-2.353939265E-1,-9.725926399E0,-6.541379094E-1
3.616889630E-1,-2.210369855E-1,-9.766604424E0,-6.349952817E-1
3.641786510E-1,-2.258226424E-1,-9.793225288E0,-6.230311990E-1
3.666682860E-1,-2.018944174E-1,-9.845867157E0,-5.512465239E-1
3.691579210E-1,-2.066800594E-1,-9.879366875E0,-4.651049078E-1
3.716476090E-1,-2.617149651E-1,-9.905687332E0,-3.403790295E-1
3.741372440E-1,-3.311068416E-1,-9.975079536E0,-2.303091735E-1
3.766268800E-1,-3.885345757E-1,-9.994221687E0,-1.345962733E-1
3.791165670E-1,-5.228317380E-1,-9.999007225E0,-3.379862010E-2
3.816062030E-1,-5.730810165E-1,-1.002772141E1,7.627122104E-2
3.840958900E-1,-6.855437160E-1,-1.004237747E1,1.408774406E-1
3.865275050E-1,-7.480561733E-1,-1.003011417E1,1.627119333E-1
3.890171400E-1,-8.270193338E-1,-1.004237747E1,1.579262912E-1
3.915067760E-1,-9.035896659E-1,-1.005912685E1,1.456630826E-1
3.939964630E-1,-9.732806087E-1,-1.003998470E1,1.097707376E-1
3.964860990E-1,-9.900303483E-1,-1.006869888E1,7.387840003E-2
3.989757340E-1,-9.972088337E-1,-1.008305550E1,5.234299600E-2
4.014654210E-1,-9.490532875E-1,-1.002293587E1,6.430710852E-2
4.039550570E-1,-9.107680917E-1,-1.004237747E1,3.080759197E-2
4.064446920E-1,-8.365905881E-1,-1.003011417E1,-2.991028305E-4
4.089343800E-1,-7.791628838E-1,-1.000139999E1,-3.140579537E-2
4.114240150E-1,-6.855437160E-1,-1.003489971E1,-9.870393202E-3
4.139137030E-1,-6.472585201E-1,-1.003250694E1,-3.140579537E-2
4.163444320E-1,-6.233302951E-1,-1.005194855E1,-6.011966988E-2
4.188340670E-1,-6.041877270E-1,-1.004477024E1,-6.490531564E-2
4.213237030E-1,-5.946164131E-1,-1.006152058E1,-2.183450572E-2
4.238133900E-1,-5.778666735E-1,-1.006152058E1,3.559323773E-2
4.263030260E-1,-5.970092416E-1,-1.007348442E1,6.430710852E-2
4.287926610E-1,-6.352944374E-1,-1.012134075E1,1.289133132E-1
4.312823490E-1,-6.711867452E-1,-1.013569736E1,1.842473447E-1
4.337719840E-1,-7.073782086E-1,-1.015962601E1,2.033899277E-1
4.362616190E-1,-7.695915699E-1,-1.020030403E1,1.336989701E-1
4.387513070E-1,-8.437690735E-1,-1.020748234E1,1.483550072E-1
4.412409420E-1,-8.988040090E-1,-1.026969528E1,1.579262912E-1
4.437306300E-1,-9.442676306E-1,-1.031306553E1,1.049850956E-1
4.461580780E-1,-9.490532875E-1,-1.032024384E1,9.541380405E-2
4.486477130E-1,-9.011968374E-1,-1.028405285E1,9.541380405E-2
4.511373490E-1,-9.035896659E-1,-1.026490974E1,9.062815458E-2
4.536270360E-1,-8.940183520E-1,-1.028405285E1,4.516452923E-2
4.561166710E-1,-8.676972985E-1,-1.026012421E1,2.123630047E-2
4.586063070E-1,-8.270193338E-1,-1.026490974E1,3.080759197E-2
4.610959940E-1,-7.839485407E-1,-1.024816036E1,-5.084747914E-3
4.635856300E-1,-7.241279483E-1,-1.018834019E1,1.645065658E-2
4.660752650E-1,-6.687939167E-1,-1.012373352E1,1.884347759E-2
4.685649530E-1,-5.946164131E-1,-1.007826996E1,1.645065658E-2
4.710545880E-1,-5.132604837E-1,-1.011416245E1,6.879365072E-3
4.735442760E-1,-4.316053987E-1,-1.006152058E1,-9.870393202E-3
4.759747960E-1,-3.622135222E-1,-1.000379372E1,-5.294119939E-2
4.784644320E-1,-3.191427290E-1,-9.989436150E0,-2.422732860E-2
4.809540670E-1,-2.641077936E-1,-9.943972588E0,-7.477570791E-3
