Time [s],Omega 1,Omega 2
11.32,1520,1415
12.7,1609,1433
16.06,2408,2110
13,1862,1687
22.38,3449,2993
13.79,1955,1773
16.43,2327,1995
15.94,2312,2037
17.09,2640,2383
33.38,6094,5379
42.72,7029,5672
43.31,7853,6405
Time [s],Omega 1,Omega 2
16.72,4994,4114
14.72,4350,3726
21.88,6326,5754
12.37,3680,3392
7.15,1663,1551
9.43,2599,2422
8.84,2571,2457
8.7,1983,1913
18.81,5429,5058
12.97,3764,3123
