"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.583039110E-1,7.856093347E-3,1.864157803E-2,1.185071766E-1
2.607935460E-1,1.531272475E-2,2.290250920E-2,1.227681041E-1
2.632832340E-1,2.276935615E-2,2.822867595E-2,1.334204376E-1
2.657117760E-1,2.703028731E-2,3.355484083E-2,1.483336985E-1
2.682014110E-1,2.703028731E-2,4.207670316E-2,1.653774232E-1
2.706910460E-1,2.916075476E-2,4.953333735E-2,1.834863871E-1
2.731807340E-1,3.342168778E-2,5.379426852E-2,2.015953511E-1
2.756703690E-1,3.661738336E-2,5.485950038E-2,2.186390758E-1
2.781600050E-1,4.407401755E-2,5.272903293E-2,2.323539555E-1
2.806496920E-1,5.685681105E-2,3.994623944E-2,2.451367527E-1
2.831393280E-1,7.177007198E-2,1.757634431E-2,2.536586225E-1
2.856289630E-1,8.455286920E-2,1.597849536E-3,2.589847744E-1
2.881186510E-1,9.413997084E-2,-9.054481052E-3,2.664414048E-1
2.906082860E-1,9.733566642E-2,-1.118494663E-2,2.770937383E-1
2.930979740E-1,1.037270650E-1,-3.728315700E-3,2.856155932E-1
2.955303690E-1,1.026618332E-1,2.663082443E-3,2.973331809E-1
2.980200050E-1,1.015966013E-1,1.757634431E-2,3.037245572E-1
3.005096400E-1,1.015966013E-1,2.609820850E-2,3.047898114E-1
3.029993280E-1,1.079879999E-1,3.248960897E-2,3.079854846E-1
3.054889630E-1,1.026618332E-1,4.314193875E-2,3.111811876E-1
3.079785990E-1,9.840089828E-2,5.698996782E-2,3.239639997E-1
3.104682860E-1,8.774857223E-2,6.870753318E-2,3.356815577E-1
3.129579210E-1,8.135717362E-2,7.403369248E-2,3.442034125E-1
3.154475570E-1,8.029194176E-2,7.935985923E-2,3.505948186E-1
3.179372440E-1,8.029194176E-2,7.722939551E-2,3.442034125E-1
3.204268800E-1,8.561810106E-2,6.977276504E-2,3.410077095E-1
3.229165670E-1,9.307473898E-2,6.338136643E-2,3.335510790E-1
3.253437030E-1,9.520520270E-2,5.379426852E-2,3.175725937E-1
3.278333380E-1,9.946613014E-2,4.420717061E-2,3.026593328E-1
3.303229740E-1,1.015966013E-1,4.207670316E-2,2.866808474E-1
3.328126610E-1,1.005313694E-1,3.888100386E-2,2.643109560E-1
3.353022960E-1,9.840089828E-2,3.675054014E-2,2.430062890E-1
3.377919320E-1,9.413997084E-2,3.675054014E-2,2.229000032E-1
3.402816190E-1,8.242240548E-2,3.675054014E-2,2.026605755E-1
3.427712550E-1,7.390054315E-2,3.888100386E-2,1.845516264E-1
3.452608900E-1,6.644391268E-2,3.994623944E-2,1.611164957E-1
3.477505780E-1,4.620448127E-2,4.314193875E-2,1.376813650E-1
3.502402130E-1,3.342168778E-2,5.059856921E-2,1.238333359E-1
3.527299010E-1,8.921326138E-3,5.698996782E-2,1.057243794E-1
3.551596920E-1,-1.451379992E-2,5.912043154E-2,8.974587917E-2
3.576493280E-1,-3.262276202E-2,6.018566713E-2,7.270215452E-2
3.601389630E-1,-4.966649041E-2,5.379426852E-2,5.246272683E-2
3.626286510E-1,-6.990591437E-2,4.846810177E-2,3.861469775E-2
3.651182860E-1,-8.801487833E-2,3.994623944E-2,2.050573565E-2
3.676079210E-1,-1.007976755E-1,3.142437339E-2,1.331541222E-3
3.700976090E-1,-1.157109365E-1,2.609820850E-2,-1.251648832E-2
3.725872440E-1,-1.306242049E-1,1.438064594E-2,-2.423405088E-2
3.750768800E-1,-1.380808353E-1,1.597849536E-3,-3.701684624E-2
3.775665670E-1,-1.380808353E-1,-1.011971384E-2,-4.873441160E-2
3.800562030E-1,-1.423417628E-1,-2.383458801E-2,-6.045197323E-2
