"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.390479138E1,-3.649054468E-2,-9.920044899E0,1.884347759E-2
6.390727279E1,-4.845465720E-2,-9.920044899E0,2.093719784E-3
6.390975753E1,-4.127619043E-2,-9.927223206E0,3.798605874E-2
6.391224232E1,-3.409772366E-2,-9.943972588E0,6.909275055E-2
6.391472706E1,-4.127619043E-2,-9.943972588E0,6.879365072E-3
6.391721180E1,-2.452643216E-2,-9.934401512E0,1.645065658E-2
6.391969659E1,6.580262445E-3,-9.920044899E0,6.879365072E-3
6.392218133E1,-5.383851007E-3,-9.862616539E0,6.879365072E-3
6.392466607E1,4.187439568E-3,-9.860223770E0,4.277170449E-2
6.392715081E1,-7.776673418E-3,-9.881759644E0,1.166501082E-2
6.392963555E1,-1.974078640E-2,-9.867402077E0,2.123630047E-2
6.393212034E1,-2.991028363E-3,-9.876974106E0,2.123630047E-2
6.393460508E1,-1.495514158E-2,-9.915258408E0,3.080759197E-2
6.393709019E1,-2.452643216E-2,-9.929615974E0,2.123630047E-2
6.393957492E1,-2.213360928E-2,-9.922437668E0,9.272187948E-3
6.394205972E1,-5.982056609E-4,-9.932008743E0,-2.691925503E-3
6.394454446E1,-3.170489892E-2,-9.934401512E0,3.320041299E-2
6.394702920E1,-2.931207791E-2,-9.920044899E0,6.879365072E-3
6.394951399E1,-4.127619043E-2,-9.917651176E0,2.093719784E-3
6.395199873E1,-2.213360928E-2,-9.917651176E0,-2.183450572E-2
6.395448347E1,-3.649054468E-2,-9.920044899E0,-7.477570791E-3
6.395696821E1,-2.691925503E-2,-9.917651176E0,-2.991028305E-4
6.395945300E1,-1.974078640E-2,-9.915258408E0,4.486542661E-3
6.396193774E1,-5.084748194E-2,-9.903294563E0,-2.991028305E-4
6.396442248E1,-4.127619043E-2,-9.917651176E0,4.037888348E-2
6.396690690E1,-6.759724021E-2,-9.932008743E0,4.516452923E-2
6.396939164E1,-7.477571070E-2,-9.955936432E0,-2.991028305E-4
6.397187644E1,-5.084748194E-2,-9.946365356E0,2.093719784E-3
6.397436118E1,-7.477571070E-2,-9.939187050E0,4.486542661E-3
6.397684592E1,-7.477571070E-2,-9.948758125E0,2.841476910E-2
6.397933071E1,-6.520441920E-2,-9.970293999E0,-5.084747914E-3
6.398181545E1,-4.845465720E-2,-9.975079536E0,2.602194622E-2
6.398430019E1,-8.195417374E-2,-9.999007225E0,3.080759197E-2
6.398678492E1,-6.759724021E-2,-1.001336479E1,-2.991028305E-4
6.398926972E1,-4.606183618E-2,-9.982257843E0,-4.336991161E-2
6.399175446E1,-4.606183618E-2,-9.996614456E0,4.037888348E-2
6.399423920E1,-4.606183618E-2,-9.994221687E0,5.952146277E-2
6.399672545E1,-7.716853172E-2,-9.965508461E0,1.884347759E-2
6.399921019E1,-9.152546525E-2,-9.994221687E0,-1.226321608E-2
6.400169498E1,-7.716853172E-2,-1.001097202E1,2.602194622E-2
6.400417972E1,-6.041877344E-2,-1.001097202E1,4.486542661E-3
6.400666446E1,-6.999006122E-2,-9.982257843E0,2.093719784E-3
6.400914925E1,-8.434699476E-2,-9.991828918E0,6.879365072E-3
6.401163399E1,-5.324030295E-2,-9.996614456E0,3.798605874E-2
6.401411873E1,-5.324030295E-2,-9.991828918E0,6.879365072E-3
6.401660347E1,-6.759724021E-2,-1.001336479E1,-2.183450572E-2
6.401908826E1,-3.649054468E-2,-1.001097202E1,3.320041299E-2
6.402157300E1,-6.520441920E-2,-1.001815033E1,1.405783277E-2
6.402405774E1,-6.999006122E-2,-1.001815033E1,2.093719784E-3
6.402654529E1,-6.759724021E-2,-1.001575756E1,6.879365072E-3
6.402903003E1,-7.477571070E-2,-1.001097202E1,-1.704886183E-2
6.403151482E1,-6.281159073E-2,-9.999007225E0,1.405783277E-2
6.403399956E1,-7.956135273E-2,-9.994221687E0,6.879365072E-3
6.403648430E1,-5.563312769E-2,-1.000139999E1,3.080759197E-2
6.403896909E1,-6.041877344E-2,-1.000139999E1,6.879365072E-3
6.404145383E1,-9.152546525E-2,-1.000379372E1,-1.226321608E-2
6.404393857E1,-4.606183618E-2,-1.000139999E1,2.841476910E-2
6.404642331E1,-6.759724021E-2,-1.003250694E1,1.405783277E-2
6.404890810E1,-5.563312769E-2,-1.002054310E1,1.166501082E-2
6.405139284E1,-6.759724021E-2,-1.005673409E1,1.166501082E-2
6.405387758E1,-5.563312769E-2,-1.000139999E1,2.841476910E-2
6.405636102E1,-6.999006122E-2,-1.004237747E1,2.362912335E-2
6.405884576E1,-9.631111473E-2,-1.003759193E1,1.645065658E-2
6.406133055E1,-7.477571070E-2,-9.991828918E0,3.798605874E-2
6.406381529E1,-7.956135273E-2,-1.000857925E1,2.093719784E-3
6.406630003E1,-7.477571070E-2,-1.000379372E1,-3.140579537E-2
6.406878482E1,-7.716853172E-2,-9.975079536E0,-2.991028305E-4
6.407126956E1,-8.434699476E-2,-9.975079536E0,3.320041299E-2
6.407375430E1,-6.041877344E-2,-9.979865074E0,-2.991028305E-4
6.407623904E1,-9.391828626E-2,-9.960722923E0,2.362912335E-2
6.407872383E1,-1.010967568E-1,-9.951150894E0,4.516452923E-2
6.408120857E1,-1.034895778E-1,-9.970293999E0,2.362912335E-2
6.408369331E1,-8.195417374E-2,-9.963115692E0,-1.704886183E-2
6.408617930E1,-8.673982322E-2,-9.951150894E0,4.486542661E-3
6.408866404E1,-7.238288224E-2,-9.965508461E0,6.879365072E-3
6.409114883E1,-8.434699476E-2,-9.941579819E0,2.362912335E-2
6.409363357E1,-7.956135273E-2,-9.951150894E0,2.841476910E-2
6.409611831E1,-5.563312769E-2,-9.932008743E0,1.166501082E-2
