"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.175656388E2,2.939027250E-1,-7.108592987E-2,-1.075980440E-1
1.175706084E2,2.652937174E-1,-2.896308899E-2,-1.106138229E-1
1.175755779E2,3.105393946E-1,6.869316101E-3,-1.135508046E-1
1.175805521E2,2.661176324E-1,1.746940613E-2,-8.545324951E-2
1.175855216E2,2.765457034E-1,3.511524200E-2,-1.039152443E-1
1.175904912E2,2.903724909E-1,5.855369568E-2,-1.055418178E-1
1.175954608E2,2.860860825E-1,4.260826111E-2,-1.071012244E-1
1.176004303E2,2.791987360E-1,2.918052673E-2,-8.838096261E-2
1.176053999E2,2.876535952E-1,5.268859863E-2,-8.771206439E-2
1.176103697E2,2.959339619E-1,5.818843842E-2,-8.462125808E-2
1.176153392E2,2.705477774E-1,1.040391922E-1,-8.742363006E-2
1.176203088E2,2.691025734E-1,1.008071899E-1,-8.793102205E-2
1.176252784E2,2.675660551E-1,6.910037994E-2,-6.462523341E-2
1.176302479E2,2.610312104E-1,2.816200256E-2,-1.057318971E-1
1.176352175E2,2.662461400E-1,6.332397461E-4,-1.192568168E-1
1.176401869E2,2.783615887E-1,-1.478004456E-2,-8.975575864E-2
1.176451564E2,2.534494102E-1,-1.581096649E-2,-7.372717559E-2
1.176501260E2,2.641193867E-1,-2.157592773E-2,-7.902623713E-2
1.176550956E2,2.412345111E-1,-2.966308594E-2,-6.187082082E-2
1.176600651E2,2.422432303E-1,-2.699184418E-2,-8.640565723E-2
1.176650347E2,2.384677231E-1,-8.016967773E-2,-7.998022437E-2
1.176700060E2,2.368892431E-1,-7.707500458E-2,-7.363791019E-2
1.176749756E2,2.446444631E-1,-5.499744415E-2,-8.991655707E-2
1.176799451E2,2.165189236E-1,-6.160449982E-2,-7.394044101E-2
1.176849147E2,2.052031308E-1,-3.489971161E-2,-6.174196675E-2
1.176898842E2,2.330745161E-1,-3.573608398E-2,-7.696224749E-2
1.176948538E2,2.024096549E-1,-1.637458801E-2,-7.798220217E-2
1.176998227E2,1.908737570E-1,1.708221436E-2,-7.065625489E-2
1.177047923E2,1.948223710E-1,5.976200104E-2,-7.645724714E-2
1.177097619E2,1.890539229E-1,4.745388031E-2,-7.859493792E-2
1.177147314E2,1.702161729E-1,4.830932617E-2,-6.899274886E-2
1.177197010E2,1.609319448E-1,8.123111725E-2,-7.729101181E-2
1.177246706E2,1.387380362E-1,5.567359924E-2,-8.187785745E-2
1.177296402E2,1.594890803E-1,6.358814240E-2,-5.311604589E-2
1.177346098E2,1.113057286E-1,2.154350281E-2,-9.712766856E-2
1.177395794E2,1.513411999E-1,2.854919434E-2,-7.188103348E-2
1.177445489E2,1.221000105E-1,-2.626705170E-2,-8.358836919E-2
